"","obsid","leadid","ccode","idacr","country","continent","leader","startdate","enddate","entry","exit","exitcode","gender","yrborn"
"1","USA-1869","81dcc176-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Grant",1869-03-04,1877-03-04,"Regular","Regular","Regular","M",1822
"2","USA-1877","81dcc177-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Hayes",1877-03-04,1881-03-04,"Regular","Regular","Regular","M",1822
"3","USA-1881-2","81dcf24b-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Arthur",1881-09-19,1885-03-04,"Regular","Regular","Regular","M",1829
"4","USA-1885","34fb1558-3bbd-11e5-afeb-eb6f07f9fec7",2,"USA","United States of America","Americas","Cleveland",1885-03-04,1889-03-04,"Regular","Regular","Regular","M",1837
"5","USA-1889","81dcf24d-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Harrison",1889-03-04,1893-03-04,"Regular","Regular","Regular","M",1833
"6","USA-1893","34fb1558-3bbd-11e5-afeb-eb6f07f9fec7",2,"USA","United States of America","Americas","Cleveland",1893-03-04,1897-03-04,"Regular","Regular","Regular","M",1837
"7","USA-1897","81dcf24e-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","McKinley",1897-03-04,1901-09-14,"Regular","Irregular","Assassination by Unsupported Individual","M",1843
"8","USA-1901","81dd231e-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Roosevelt, T.",1901-09-14,1909-03-04,"Regular","Regular","Regular","M",1858
"9","USA-1909","81dd231f-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Taft",1909-03-04,1913-03-04,"Regular","Regular","Regular","M",1857
"10","USA-1913","81dd2320-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Wilson",1913-03-04,1921-03-04,"Regular","Regular","Regular","M",1856
"11","USA-1921","81dd2321-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Harding",1921-03-04,1923-08-03,"Regular","Natural Death","Regular","M",1865
"12","USA-1923","81dd2322-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Coolidge",1923-08-03,1929-03-04,"Regular","Regular","Regular","M",1872
"13","USA-1929","81dd53f2-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Hoover",1929-03-04,1933-03-04,"Regular","Regular","Regular","M",1874
"14","USA-1933","81dd53f3-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Roosevelt, F.",1933-03-04,1945-04-12,"Regular","Natural Death","Regular","M",1882
"15","USA-1945","81dd53f4-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Truman",1945-04-12,1953-01-20,"Regular","Regular","Regular","M",1884
"16","USA-1953","81dd53f5-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Eisenhower",1953-01-20,1961-01-20,"Regular","Regular","Regular","M",1890
